City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chernyshevskiy,RU,2022-07-24 15:54:23,moderate rain,63.0128,112.4714,65.41,97,100,4.92
1,Cape Town,ZA,2022-07-24 15:54:23,clear sky,-33.9258,18.4232,63.37,68,0,10.36
2,Port Shepstone,ZA,2022-07-24 15:54:23,scattered clouds,-30.7414,30.455,60.08,61,32,25.66
3,Roald,NO,2022-07-24 15:54:24,light rain,62.5833,6.1333,64.17,94,75,13.8
4,Kapaa,US,2022-07-24 15:54:24,scattered clouds,22.0752,-159.319,77.32,82,40,12.66
5,Busselton,AU,2022-07-24 15:54:25,broken clouds,-33.65,115.3333,56.53,72,84,12.5
6,Barra Do Garcas,BR,2022-07-24 15:51:21,clear sky,-15.89,-52.2567,90.18,40,0,11.5
7,Mataura,NZ,2022-07-24 15:49:43,few clouds,-46.1927,168.8643,37.47,98,16,2.48
8,Iskitim,RU,2022-07-24 15:54:25,broken clouds,54.6366,83.3045,53.35,88,61,6.38
9,Conceicao Do Araguaia,BR,2022-07-24 15:54:26,scattered clouds,-8.2578,-49.2647,96.51,20,45,7.11
10,Hasaki,JP,2022-07-24 15:54:26,overcast clouds,35.7333,140.8333,77.4,87,99,14.74
11,Soyo,AO,2022-07-24 15:54:02,few clouds,-6.1349,12.3689,73.15,79,23,8.7
12,Sola,VU,2022-07-24 15:54:27,few clouds,-13.8833,167.55,80.02,78,15,7.18
13,Mar Del Plata,AR,2022-07-24 15:54:27,mist,-38.0023,-57.5575,54.09,94,100,0.0
14,Dingle,PH,2022-07-24 15:54:27,overcast clouds,10.9995,122.6711,76.86,90,98,2.3
15,Kavieng,PG,2022-07-24 15:54:28,scattered clouds,-2.5744,150.7967,82.04,77,26,8.93
16,Castro,BR,2022-07-24 15:50:17,overcast clouds,-24.7911,-50.0119,75.47,39,89,2.19
17,Bluff,NZ,2022-07-24 15:54:28,few clouds,-46.6,168.3333,36.81,85,21,3.71
18,Matara,LK,2022-07-24 15:54:29,overcast clouds,5.9485,80.5353,78.01,85,98,10.74
19,Mahebourg,MU,2022-07-24 15:54:29,scattered clouds,-20.4081,57.7,70.09,73,40,9.22
20,Ushuaia,AR,2022-07-24 15:52:23,clear sky,-54.8,-68.3,37.02,69,0,6.91
21,Beringovskiy,RU,2022-07-24 15:54:29,overcast clouds,63.05,179.3167,45.36,75,89,6.93
22,At-Bashi,KG,2022-07-24 15:54:30,scattered clouds,41.1702,75.8106,66.96,38,40,1.43
23,Hobart,AU,2022-07-24 15:54:30,broken clouds,-42.8794,147.3294,47.05,94,72,4.61
24,Coihaique,CL,2022-07-24 15:54:31,light shower snow,-45.5752,-72.0662,32.61,80,100,3.44
25,Springdale,US,2022-07-24 15:49:46,clear sky,36.1867,-94.1288,92.57,51,0,12.66
26,Khatanga,RU,2022-07-24 15:54:31,overcast clouds,71.9667,102.5,68.61,57,100,11.9
27,Karratha,AU,2022-07-24 15:54:32,clear sky,-20.7377,116.8463,67.5,67,0,3.67
28,Arlit,NE,2022-07-24 15:54:32,clear sky,18.7369,7.3853,104.67,17,7,5.84
29,Codrington,AU,2022-07-24 15:54:32,overcast clouds,-38.2667,141.9667,53.67,80,100,13.89
30,Rikitea,PF,2022-07-24 15:49:43,broken clouds,-23.1203,-134.9692,74.3,79,80,14.41
31,Challans,FR,2022-07-24 15:54:33,clear sky,46.8436,-1.8749,90.52,48,10,13.15
32,Ambon,ID,2022-07-24 15:54:33,scattered clouds,-3.6954,128.1814,78.24,15,40,3.44
33,Tessalit,ML,2022-07-24 15:54:34,overcast clouds,20.1986,1.0114,100.42,18,93,9.04
34,Butaritari,KI,2022-07-24 15:54:34,scattered clouds,3.0707,172.7902,82.15,72,30,17.45
35,Sao Filipe,CV,2022-07-24 15:49:55,moderate rain,14.8961,-24.4956,77.31,86,95,1.36
36,Georgetown,MY,2022-07-24 15:50:05,thunderstorm with light rain,5.4112,100.3354,84.13,90,40,11.99
37,Sur,OM,2022-07-24 15:54:35,light rain,22.5667,59.5289,92.98,56,80,9.6
38,Ribeira Grande,PT,2022-07-24 15:54:35,scattered clouds,38.5167,-28.7,79.2,78,40,11.5
39,Bredasdorp,ZA,2022-07-24 15:54:35,clear sky,-34.5322,20.0403,51.6,77,6,8.52
40,Sitka,US,2022-07-24 15:54:36,light rain,57.0531,-135.33,54.5,95,100,4.97
41,Kibala,TD,2022-07-24 15:54:36,thunderstorm,9.1104,18.3463,73.35,94,20,5.75
42,Jamestown,US,2022-07-24 15:52:01,clear sky,42.097,-79.2353,80.53,73,0,6.91
43,Hambantota,LK,2022-07-24 15:54:37,overcast clouds,6.1241,81.1185,80.94,83,100,4.61
44,Telfs,AT,2022-07-24 15:54:37,scattered clouds,47.3,11.0667,86.83,52,35,5.32
45,Tasiilaq,GL,2022-07-24 15:54:37,scattered clouds,65.6145,-37.6368,39.33,84,45,6.8
46,Dalby,AU,2022-07-24 15:54:38,clear sky,-27.1833,151.2667,48.97,94,0,6.67
47,Atuona,PF,2022-07-24 15:55:38,light rain,-9.8,-139.0333,76.98,69,59,18.5
48,Bronnoysund,NO,2022-07-24 15:55:39,clear sky,65.4625,12.1997,60.8,72,0,9.22
49,Nizwa,OM,2022-07-24 15:55:39,overcast clouds,22.9333,57.5333,89.2,43,100,2.62
50,Aklavik,CA,2022-07-24 15:55:39,fog,68.2191,-135.0107,48.2,93,100,3.44
51,Kununurra,AU,2022-07-24 15:55:40,clear sky,-15.7667,128.7333,53.58,76,3,3.44
52,Kodinar,IN,2022-07-24 15:55:40,overcast clouds,20.7903,70.7031,80.71,84,100,16.73
53,Punta Arenas,CL,2022-07-24 15:55:41,few clouds,-53.15,-70.9167,37.51,70,20,23.02
54,Oxapampa,PE,2022-07-24 15:55:41,broken clouds,-10.5775,-75.4017,67.03,83,67,3.49
55,Hermanus,ZA,2022-07-24 15:55:41,clear sky,-34.4187,19.2345,56.8,65,2,13.71
56,Haines Junction,CA,2022-07-24 15:55:42,overcast clouds,60.7522,-137.5108,44.55,100,100,0.0
57,Manzanillo,CU,2022-07-24 15:55:42,overcast clouds,20.3433,-77.1167,85.32,59,99,11.99
58,Jiuquan,CN,2022-07-24 15:55:42,overcast clouds,39.7432,98.5174,83.77,19,93,10.36
59,Bajina Basta,RS,2022-07-24 15:55:43,broken clouds,43.9708,19.5675,89.69,38,84,11.79
60,Clyde River,CA,2022-07-24 15:55:43,light rain,70.4692,-68.5914,43.03,93,100,17.27
61,Ilulissat,GL,2022-07-24 15:55:44,overcast clouds,69.2167,-51.1,39.99,94,100,4.05
62,Jiayuguan,CN,2022-07-24 15:55:44,broken clouds,39.8167,98.3,82.44,21,59,3.85
63,Albany,US,2022-07-24 15:54:35,scattered clouds,42.6001,-73.9662,92.62,45,33,1.99
64,Nikolskoye,RU,2022-07-24 15:55:45,light rain,59.7035,30.7861,67.91,91,100,4.72
65,Cherskiy,RU,2022-07-24 15:55:45,scattered clouds,68.75,161.3,49.44,59,48,5.28
66,Namibe,AO,2022-07-24 15:55:46,scattered clouds,-15.1961,12.1522,66.45,80,46,6.71
67,Sao Joao Da Barra,BR,2022-07-24 15:55:46,clear sky,-21.6403,-41.0511,82.49,64,0,13.4
68,Saint-Philippe,RE,2022-07-24 15:55:46,light rain,-21.3585,55.7679,71.19,81,69,10.71
69,Tuktoyaktuk,CA,2022-07-24 15:55:47,overcast clouds,69.4541,-133.0374,44.6,93,100,8.05
70,Los Llanos De Aridane,ES,2022-07-24 15:55:47,scattered clouds,28.6585,-17.9182,74.95,78,40,13.8
71,Bataipora,BR,2022-07-24 15:55:47,broken clouds,-22.2953,-53.2711,88.61,22,73,7.58
72,Najran,SA,2022-07-24 15:55:48,moderate rain,17.4924,44.1277,92.05,31,55,9.13
73,Saskylakh,RU,2022-07-24 15:55:48,overcast clouds,71.9167,114.0833,60.22,76,99,6.51
74,Lebu,CL,2022-07-24 15:55:49,light rain,-37.6167,-73.65,48.74,96,100,4.41
75,Shar,KZ,2022-07-24 15:55:49,clear sky,49.5886,81.0453,66.16,47,9,13.15
76,Mariental,NA,2022-07-24 15:55:50,clear sky,-24.6333,17.9667,69.49,29,6,13.18
77,Carnarvon,AU,2022-07-24 15:55:50,clear sky,-24.8667,113.6333,61.18,45,0,16.67
78,Te Anau,NZ,2022-07-24 15:55:50,overcast clouds,-45.4167,167.7167,39.18,96,96,1.61
79,Beasain,ES,2022-07-24 15:55:51,clear sky,43.0502,-2.2009,105.57,44,5,7.52
80,Vaini,TO,2022-07-24 15:55:51,few clouds,-21.2,-175.2,69.96,83,20,6.91
81,Provideniya,RU,2022-07-24 15:55:51,overcast clouds,64.3833,-173.3,41.85,90,100,5.1
82,Thompson,CA,2022-07-24 15:51:37,broken clouds,55.7435,-97.8558,66.36,52,75,9.22
83,Hithadhoo,MV,2022-07-24 15:51:11,overcast clouds,-0.6,73.0833,82.36,72,98,5.82
84,Touros,BR,2022-07-24 15:55:52,overcast clouds,-5.1989,-35.4608,80.17,78,94,18.84
85,Lakselv,NO,2022-07-24 15:55:52,clear sky,70.0513,24.9718,57.02,54,0,10.36
86,San Matias,BO,2022-07-24 15:55:53,clear sky,-16.3667,-58.4,97.59,17,1,6.89
87,Arman,RU,2022-07-24 15:55:53,light rain,59.7,150.1667,52.02,96,100,1.63
88,Port Alfred,ZA,2022-07-24 15:55:54,broken clouds,-33.5906,26.891,54.18,92,73,1.99
89,Nuuk,GL,2022-07-24 15:55:54,scattered clouds,64.1835,-51.7216,49.14,76,46,15.64
90,Takoradi,GH,2022-07-24 15:55:54,overcast clouds,4.8845,-1.7554,77.92,73,92,9.69
91,Vostok,RU,2022-07-24 15:55:55,overcast clouds,46.4856,135.8833,58.14,97,91,2.13
92,Yellowknife,CA,2022-07-24 15:55:55,overcast clouds,62.456,-114.3525,59.56,94,100,5.75
93,Chor,PK,2022-07-24 15:55:55,overcast clouds,25.5167,69.7667,80.28,89,97,18.07
94,Yar-Sale,RU,2022-07-24 15:55:56,broken clouds,66.8333,70.8333,50.02,88,83,14.72
95,Cayenne,GF,2022-07-24 15:54:05,broken clouds,4.9333,-52.3333,87.84,7,75,10.36
96,Yaan,NG,2022-07-24 15:56:56,light rain,7.3833,8.5667,80.46,78,94,4.56
97,Constitucion,CL,2022-07-24 15:56:57,light rain,-35.3333,-72.4167,55.13,89,100,11.99
98,Chokurdakh,RU,2022-07-24 15:56:57,overcast clouds,70.6333,147.9167,48.4,63,92,9.24
99,Hilo,US,2022-07-24 15:56:58,scattered clouds,19.7297,-155.09,78.28,94,45,4.0
100,Maningrida,AU,2022-07-24 15:56:58,scattered clouds,-12.0667,134.2667,67.86,95,37,6.35
101,Kumba,CM,2022-07-24 15:56:58,light rain,4.6363,9.4469,77.74,80,91,4.16
102,Guerrero Negro,MX,2022-07-24 15:56:05,overcast clouds,27.9769,-114.0611,70.86,71,97,5.64
103,Vardo,NO,2022-07-24 15:56:59,scattered clouds,70.3705,31.1107,55.38,71,40,13.8
104,Grindavik,IS,2022-07-24 15:56:59,broken clouds,63.8424,-22.4338,55.35,82,75,10.36
105,Severo-Kurilsk,RU,2022-07-24 15:57:00,light rain,50.6789,156.125,52.68,96,100,9.93
106,Lagoa,PT,2022-07-24 15:57:00,clear sky,39.05,-27.9833,73.99,87,7,9.75
107,Hanting,CN,2022-07-24 15:57:01,clear sky,36.7708,119.2108,76.03,86,0,8.08
108,Guayaramerin,BO,2022-07-24 15:57:01,clear sky,-10.8368,-65.3614,89.65,51,0,5.75
109,Dikson,RU,2022-07-24 15:52:32,overcast clouds,73.5069,80.5464,45.01,84,100,16.28
110,Seoul,KR,2022-07-24 15:57:01,few clouds,37.5683,126.9778,76.6,94,20,5.75
111,Tacuarembo,UY,2022-07-24 15:57:02,broken clouds,-31.7333,-55.9833,75.81,72,72,8.23
112,Barrow,US,2022-07-24 15:57:02,mist,71.2906,-156.7887,37.42,93,100,0.0
113,Port Lincoln,AU,2022-07-24 15:57:03,overcast clouds,-34.7333,135.8667,55.13,87,94,14.14
114,Derzhavinsk,KZ,2022-07-24 15:57:03,clear sky,51.1,66.3167,73.96,38,2,7.29
115,New Norfolk,AU,2022-07-24 15:57:04,broken clouds,-42.7826,147.0587,46.71,88,72,2.17
116,Longyearbyen,SJ,2022-07-24 15:57:04,broken clouds,78.2186,15.6401,49.84,81,75,17.27
117,Soritor,PE,2022-07-24 15:57:05,scattered clouds,-6.1392,-77.1039,78.73,69,27,2.82
118,Deputatskiy,RU,2022-07-24 15:57:05,broken clouds,69.3,139.9,48.67,80,54,2.46
119,Chuy,UY,2022-07-24 15:57:05,broken clouds,-33.6971,-53.4616,66.24,84,56,2.77
120,Nelson Bay,AU,2022-07-24 15:57:06,clear sky,-32.7167,152.15,54.0,99,5,3.0
121,Kaitangata,NZ,2022-07-24 15:57:06,clear sky,-46.2817,169.8464,34.57,92,3,2.37
122,Brae,GB,2022-07-24 15:57:07,overcast clouds,60.3964,-1.353,55.53,93,94,14.72
123,Wuwei,CN,2022-07-24 15:57:07,clear sky,37.9281,102.6414,75.13,32,0,7.36
124,Shelburne,CA,2022-07-24 15:57:07,light rain,44.0787,-80.2041,69.24,89,100,16.08
125,Leh,IN,2022-07-24 15:57:08,overcast clouds,34.1667,77.5833,66.97,51,86,3.69
126,Tuatapere,NZ,2022-07-24 15:57:08,broken clouds,-46.1333,167.6833,41.13,92,51,2.39
127,Coquimbo,CL,2022-07-24 15:54:53,overcast clouds,-29.9533,-71.3436,55.13,82,100,2.3
128,Oyama,JP,2022-07-24 15:57:08,overcast clouds,36.3,139.8,84.58,77,92,3.8
129,Henties Bay,NA,2022-07-24 15:57:09,few clouds,-22.116,14.2845,58.39,81,21,6.46
130,Fonte Boa,BR,2022-07-24 15:57:09,broken clouds,-2.4959,-66.2662,80.06,92,84,2.17
131,Claveria,PH,2022-07-24 15:57:09,few clouds,18.6074,121.0832,81.55,85,21,7.67
132,Shenjiamen,CN,2022-07-24 15:57:10,clear sky,29.9576,122.298,77.14,91,5,5.53
133,Volodarka,UA,2022-07-24 15:57:10,overcast clouds,49.5248,29.9122,73.06,61,100,4.0
134,Port Hedland,AU,2022-07-24 15:57:11,clear sky,-20.3167,118.5667,59.05,77,0,4.61
135,Kloulklubed,PW,2022-07-24 15:57:11,overcast clouds,7.0419,134.2556,73.9,73,95,6.42
136,Port Elizabeth,ZA,2022-07-24 15:56:04,broken clouds,-33.918,25.5701,56.1,95,75,11.5
137,Kruisfontein,ZA,2022-07-24 15:57:12,scattered clouds,-34.0033,24.7314,53.89,84,48,6.51
138,Vao,NC,2022-07-24 15:57:12,broken clouds,-22.6667,167.4833,72.18,79,68,12.77
139,Castleblayney,IE,2022-07-24 15:58:13,broken clouds,54.1167,-6.7333,62.82,90,69,13.35
140,Pevek,RU,2022-07-24 15:58:13,broken clouds,69.7008,170.3133,35.78,89,69,2.19
141,Ponta Do Sol,PT,2022-07-24 15:58:13,clear sky,32.6667,-17.1,90.12,33,5,1.9
142,Praia Da Vitoria,PT,2022-07-24 15:58:14,broken clouds,38.7333,-27.0667,79.75,83,75,2.66
143,Sechura,PE,2022-07-24 15:58:14,few clouds,-5.5569,-80.8222,73.83,63,23,11.83
144,Kolokani,ML,2022-07-24 15:58:15,overcast clouds,13.5728,-8.0339,91.83,42,98,7.31
