City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kapaa,US,77.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
14,Dingle,PH,76.86,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
16,Castro,BR,75.47,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
18,Matara,LK,78.01,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
32,Ambon,ID,78.24,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
35,Sao Filipe,CV,77.31,moderate rain,14.8961,-24.4956,Hotel Xaguate
38,Ribeira Grande,PT,79.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
47,Atuona,PF,76.98,light rain,-9.8,-139.0333,Villa Enata
90,Takoradi,GH,77.92,overcast clouds,4.8845,-1.7554,Raybow International Hotel
99,Hilo,US,78.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
101,Kumba,CM,77.74,light rain,4.6363,9.4469,El Bethel Hotel
107,Hanting,CN,76.03,clear sky,36.7708,119.2108,Weifang Xinhongda Guesthouse
110,Seoul,KR,76.6,few clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
111,Tacuarembo,UY,75.81,broken clouds,-31.7333,-55.9833,Complejo San Fructuoso
117,Soritor,PE,78.73,scattered clouds,-6.1392,-77.1039,Casa Hospedaje El Porton
123,Wuwei,CN,75.13,clear sky,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
132,Shenjiamen,CN,77.14,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
142,Praia Da Vitoria,PT,79.75,broken clouds,38.7333,-27.0667,Hotel Branco I
156,Mogadishu,SO,75.92,few clouds,2.0371,45.3438,Hotel Juba
161,Teknaf,BD,79.93,overcast clouds,20.8624,92.3058,Forestry Guesthouse
165,Waterford,US,78.78,overcast clouds,42.7023,-83.4027,Olde Mill Inn-Clarkston
178,Micheweni,TZ,75.22,clear sky,-4.9667,39.8333, 
181,Hobyo,SO,76.84,broken clouds,5.3505,48.5268,Iftin hotel hobyo
184,Merauke,ID,75.13,broken clouds,-8.4667,140.3333, 
188,Caluquembe,AO,78.44,clear sky,-13.7833,14.6833,Hotel Kalukembe
198,Jiexiu,CN,76.5,few clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
202,Mabaruma,GY,79.99,broken clouds,8.2,-59.7833,Monty Brooms Guest House
208,Salalah,OM,77.02,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
217,Caravelas,BR,77.38,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
222,Omboue,GA,75.09,scattered clouds,-1.5746,9.2618,Hotel Olako
235,Battle Creek,US,77.22,overcast clouds,42.3212,-85.1797,Baymont by Wyndham Battle Creek Downtown
246,Muroto,JP,78.6,overcast clouds,33.2833,134.15,Oota Ryokan
249,Faanui,PF,78.76,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
250,Isangel,VU,76.03,clear sky,-19.55,169.2667,Tanna Lodge
271,Mafinga,TZ,76.71,clear sky,-7.25,35.0667, 
281,Gudari,IN,77.76,moderate rain,19.35,83.7833,Hotel maa majhigouri
293,Maan,PH,78.37,overcast clouds,5.9339,124.7356,lola glo resort
301,Ejido,VE,78.37,broken clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
306,Asau,RO,78.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
310,Daru,PG,76.44,overcast clouds,-9.0763,143.2092,Daru Lodge
322,Amahai,ID,75.69,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
325,Lhokseumawe,ID,77.99,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
331,Katsuura,JP,77.86,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
337,Uttarkashi,IN,75.09,overcast clouds,30.7333,78.45,Anand Ganga
345,Namatanai,PG,78.94,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
347,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
352,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
354,Kalabo,ZM,77.09,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
357,Finschhafen,PG,78.75,few clouds,-6.6024,147.8681,Cossam Guest House
371,Chebsara,RU,76.33,moderate rain,59.2002,38.8356, 
380,Pinotepa De Don Luis,MX,77.04,overcast clouds,16.4167,-97.9167, 
385,Sokoni,TZ,76.26,clear sky,-6.4333,39.55,Ujamaa Beach Resort
389,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
392,Sandpoint,US,75.72,clear sky,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
395,Ouadda,CF,76.64,light rain,8.0777,22.4007, 
401,Periyanayakkanpalaiyam,IN,78.39,mist,11.15,76.9333,BIRIYNAI CORNER
419,Tual,ID,78.75,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
420,Belawan,ID,79.09,broken clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
427,Kismayo,SO,75.7,broken clouds,-0.3582,42.5454,Agan-Hotel
436,Tautira,PF,79.3,light rain,-17.7333,-149.15,Pension Oaoa
445,Mumford,GH,76.91,broken clouds,5.2618,-0.759,Spanish Villa
452,Balykshi,KZ,75.2,light intensity shower rain,47.0667,51.8667,Гостиница Golden Rose
460,Kapoeta,SS,76.82,light rain,4.7717,33.5903,Eastgate Hotel
467,Barisal,BD,79.92,overcast clouds,22.7019,90.3711,Hotel Arefin Residential
468,Bengkulu,ID,76.28,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
470,Newport,GB,75.69,broken clouds,51.5877,-2.9984,ibis budget Newport
477,Kalemie,CD,75.42,clear sky,-5.9475,29.1947,Mahobilali
485,Kembe,CF,78.21,light rain,4.6228,21.8865, 
513,Osorio,BR,79.74,overcast clouds,-29.8867,-50.2697,Hotel Litoral
517,Sassandra,CI,77.67,light rain,4.95,-6.0833,la terrasse
520,Sulina,RO,78.66,scattered clouds,45.1559,29.6536,Hotel Delta Est
522,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
524,Naze,JP,79.09,clear sky,28.3667,129.4833,Shishime Hotel
546,Sisophon,KH,77.31,overcast clouds,13.5859,102.9737,Pyramid Hotel
561,Tambura,SS,76.08,light rain,5.6,27.4667,Rikito Lodge
564,Meulaboh,ID,75.83,light rain,4.1363,96.1285,Kost Pria
566,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
573,Saint-Michel-Des-Saints,CA,75.94,overcast clouds,46.6834,-73.9159,Motel Du Mont trinity
574,Khed Brahma,IN,77.68,light rain,24.0333,73.05,UMIYA NASTA HOUSE
577,Piacabucu,BR,78.8,broken clouds,-10.4056,-36.4344,Piaçabuçu News
579,Save,BJ,76.87,overcast clouds,8.0425,2.486,Le Cercle du Rail
586,Bintulu,MY,78.22,moderate rain,3.1667,113.0333,900 Boutique INN
589,Digby,CA,77.59,broken clouds,44.6169,-65.7655,Digby Pines Golf Resort and Spa
592,Kirakira,SB,78.08,clear sky,-10.4544,161.9205,SanBiz Lodge
595,Koubia,GN,75.92,moderate rain,11.5833,-11.9,Hôtel Mbalou Koubia
602,Kieta,PG,78.73,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
614,Nanakuli,US,76.95,clear sky,21.3906,-158.1547,Camp Pālehua
616,La Crosse,US,76.77,clear sky,43.8014,-91.2396,Holiday Inn & Suites La Crosse - Downtown
617,Luwuk,ID,75.92,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
619,Maumere,ID,75.06,scattered clouds,-8.6199,122.2111,Sylvia Hotel
624,Ichhawar,IN,75.29,overcast clouds,23.0167,77.0167,Ram mandira
635,Samarai,PG,79.05,overcast clouds,-10.6167,150.6667,Nuli Sapi
636,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
639,Santa Maria,BR,77.65,overcast clouds,-29.6842,-53.8069,Hotel Morotin
649,Chalus,IR,76.01,broken clouds,36.655,51.4204,Rama Spa
650,Cape Coast,GH,77.36,broken clouds,5.1053,-1.2466,Samrit Hotel
654,La Union,PE,77.58,few clouds,-5.4,-80.75,Los Portales
655,Banda Aceh,ID,78.71,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
656,Cocobeach,GA,76.24,broken clouds,1.0002,9.5823,Hotel Esperance
671,Rongcheng,CN,79.11,clear sky,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
673,Juxtlahuaca,MX,77.97,overcast clouds,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
687,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
689,Belmonte,BR,76.84,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
691,Bonthe,SL,75.2,light rain,7.5264,-12.505,Bonthe Holiday Village
